date,year_month,year,month,weekday,upi_volume_lakh,upi_value_crore,upi_volume,upi_value_rupees
2020-08-02,2020-08,2020,8,Sunday,501.86,8082.04,50186000.0,80820400000.0
2020-08-03,2020-08,2020,8,Monday,508.98,9804.57,50898000.0,98045700000.0
2020-08-04,2020-08,2020,8,Tuesday,526.55,11230.53,52654999.99999999,112305300000.0
2020-08-05,2020-08,2020,8,Wednesday,492.26,10226.47,49226000.0,102264700000.0
2020-08-06,2020-08,2020,8,Thursday,459.74,9517.22,45974000.0,95172200000.0
2020-08-07,2020-08,2020,8,Friday,504.21,10464.83,50421000.0,104648300000.0
2020-08-08,2020-08,2020,8,Saturday,538.93,9938.8,53892999.99999999,99388000000.0
2020-08-09,2020-08,2020,8,Sunday,440.12,6578.76,44012000.0,65787600000.0
2020-08-10,2020-08,2020,8,Monday,511.87,10388.9,51187000.0,103889000000.0
2020-08-11,2020-08,2020,8,Tuesday,578.27,11411.04,57827000.0,114110400000.00002
2020-08-12,2020-08,2020,8,Wednesday,558.47,10962.22,55847000.0,109622200000.0
2020-08-13,2020-08,2020,8,Thursday,539.19,10585.91,53919000.00000001,105859100000.0
2020-08-14,2020-08,2020,8,Friday,539.34,10316.23,53934000.0,103162300000.0
2020-08-15,2020-08,2020,8,Saturday,489.26,7615.92,48926000.0,76159200000.0
2020-08-16,2020-08,2020,8,Sunday,460.73,6513.29,46073000.0,65132900000.0
2020-08-17,2020-08,2020,8,Monday,491.93,9319.65,49193000.0,93196500000.0
2020-08-18,2020-08,2020,8,Tuesday,492.12,8825.77,49212000.0,88257700000.0
2020-08-19,2020-08,2020,8,Wednesday,543.21,10080.86,54321000.0,100808600000.0
2020-08-20,2020-08,2020,8,Thursday,556.27,10676.16,55627000.0,106761600000.0
2020-08-21,2020-08,2020,8,Friday,548.43,9893.06,54842999.99999999,98930600000.0
2020-08-22,2020-08,2020,8,Saturday,498.88,7381.02,49888000.0,73810200000.0
2020-08-23,2020-08,2020,8,Sunday,468.13,6217.56,46813000.0,62175600000.00001
2020-08-24,2020-08,2020,8,Monday,551.02,10572.5,55102000.0,105725000000.0
2020-08-25,2020-08,2020,8,Tuesday,561.84,10383.43,56184000.0,103834300000.0
2020-08-26,2020-08,2020,8,Wednesday,552.49,10182.13,55249000.0,101821299999.99998
2020-08-27,2020-08,2020,8,Thursday,544.74,10028.61,54474000.0,100286100000.0
2020-08-28,2020-08,2020,8,Friday,549.31,10209.71,54930999.99999999,102097099999.99998
2020-08-29,2020-08,2020,8,Saturday,545.21,9725.31,54521000.0,97253100000.0
2020-08-30,2020-08,2020,8,Sunday,493.79,6981.95,49379000.0,69819500000.0
2020-08-31,2020-08,2020,8,Monday,586.69,13211.82,58669000.00000001,132118200000.0
2020-09-01,2020-09,2020,9,Tuesday,651.97,13916.88,65197000.0,139168800000.0
2020-09-02,2020-09,2020,9,Wednesday,638.42,13151.17,63841999.99999999,131511700000.0
2020-09-03,2020-09,2020,9,Thursday,625.8,12827.3,62579999.99999999,128273000000.0
2020-09-04,2020-09,2020,9,Friday,621.85,12457.52,62185000.0,124575200000.0
2020-09-05,2020-09,2020,9,Saturday,624.89,12215.88,62489000.0,122158799999.99998
2020-09-06,2020-09,2020,9,Sunday,567.97,8642.76,56797000.0,86427600000.0
2020-09-07,2020-09,2020,9,Monday,634.74,13010.41,63474000.0,130104100000.0
2020-09-08,2020-09,2020,9,Tuesday,662.23,12601.81,66223000.0,126018100000.0
2020-09-09,2020-09,2020,9,Wednesday,571.75,11563.73,57175000.0,115637300000.0
2020-09-10,2020-09,2020,9,Thursday,646.68,12688.59,64667999.99999999,126885900000.0
2020-09-11,2020-09,2020,9,Friday,624.04,11651.3,62404000.0,116513000000.0
2020-09-12,2020-09,2020,9,Saturday,609.7,10366.6,60970000.00000001,103666000000.0
2020-09-13,2020-09,2020,9,Sunday,474.74,6184.07,47474000.0,61840700000.0
2020-09-14,2020-09,2020,9,Monday,631.44,12516.37,63144000.00000001,125163700000.00002
2020-09-15,2020-09,2020,9,Tuesday,623.6,11916.68,62360000.0,119166800000.0
2020-09-16,2020-09,2020,9,Wednesday,628.73,11547.25,62873000.0,115472500000.0
2020-09-17,2020-09,2020,9,Thursday,402.75,7127.67,40275000.0,71276700000.0
2020-09-18,2020-09,2020,9,Friday,637.88,11307.57,63788000.0,113075700000.0
2020-09-19,2020-09,2020,9,Saturday,614.3,10245.52,61429999.99999999,102455200000.0
2020-09-20,2020-09,2020,9,Sunday,454.37,5724.58,45437000.0,57245800000.0
2020-09-21,2020-09,2020,9,Monday,636.98,11767.97,63698000.0,117679700000.0
2020-09-22,2020-09,2020,9,Tuesday,622.35,11255.24,62235000.0,112552400000.0
2020-09-23,2020-09,2020,9,Wednesday,607.23,10715.09,60723000.0,107150900000.0
2020-09-24,2020-09,2020,9,Thursday,601.18,10459.95,60117999.99999999,104599500000.0
2020-09-25,2020-09,2020,9,Friday,604.82,10540.49,60482000.00000001,105404900000.0
2020-09-26,2020-09,2020,9,Saturday,501.38,7561.24,50138000.0,75612400000.0
2020-09-27,2020-09,2020,9,Sunday,592.81,7868.89,59280999.99999999,78688900000.0
2020-09-28,2020-09,2020,9,Monday,631.77,11503.91,63177000.0,115039100000.0
2020-09-29,2020-09,2020,9,Tuesday,599.96,11212.75,59996000.0,112127500000.0
2020-09-30,2020-09,2020,9,Wednesday,655.34,14482.65,65534000.0,144826500000.0
2020-10-01,2020-10,2020,10,Thursday,690.78,15154.61,69078000.0,151546100000.0
2020-10-02,2020-10,2020,10,Friday,668.2,12182.05,66820000.00000001,121820500000.0
2020-10-03,2020-10,2020,10,Saturday,660.31,12936.91,66030999.99999999,129369100000.0
2020-10-04,2020-10,2020,10,Sunday,621.62,10048.45,62162000.0,100484500000.0
2020-10-05,2020-10,2020,10,Monday,662.0,14138.9,66200000.0,141389000000.0
2020-10-06,2020-10,2020,10,Tuesday,663.59,13442.54,66359000.0,134425400000.00002
2020-10-07,2020-10,2020,10,Wednesday,707.29,13835.59,70729000.0,138355900000.0
2020-10-08,2020-10,2020,10,Thursday,700.44,13802.48,70044000.0,138024800000.0
2020-10-09,2020-10,2020,10,Friday,703.69,13478.59,70369000.0,134785900000.0
2020-10-10,2020-10,2020,10,Saturday,679.11,11765.56,67911000.0,117655600000.0
2020-10-11,2020-10,2020,10,Sunday,625.09,8802.28,62509000.0,88022800000.0
2020-10-12,2020-10,2020,10,Monday,690.28,13602.65,69028000.0,136026500000.0
2020-10-13,2020-10,2020,10,Tuesday,659.71,12201.05,65971000.0,122010500000.0
2020-10-14,2020-10,2020,10,Wednesday,685.48,12826.95,68548000.0,128269500000.0
2020-10-15,2020-10,2020,10,Thursday,716.06,13768.29,71606000.0,137682900000.0
2020-10-16,2020-10,2020,10,Friday,676.8,12787.33,67680000.0,127873300000.0
2020-10-17,2020-10,2020,10,Saturday,697.41,12953.33,69741000.0,129533300000.0
2020-10-18,2020-10,2020,10,Sunday,641.64,9860.13,64164000.0,98601299999.99998
2020-10-19,2020-10,2020,10,Monday,686.15,13562.8,68615000.0,135628000000.0
2020-10-20,2020-10,2020,10,Tuesday,676.48,13103.34,67648000.0,131033400000.0
2020-10-21,2020-10,2020,10,Wednesday,688.79,13438.16,68879000.0,134381600000.0
2020-10-22,2020-10,2020,10,Thursday,657.31,12591.02,65730999.99999999,125910200000.0
2020-10-23,2020-10,2020,10,Friday,665.35,12525.03,66535000.0,125250300000.0
2020-10-24,2020-10,2020,10,Saturday,638.52,10719.74,63852000.0,107197400000.0
2020-10-25,2020-10,2020,10,Sunday,566.26,7661.96,56626000.0,76619600000.0
2020-10-26,2020-10,2020,10,Monday,633.45,11007.26,63345000.00000001,110072600000.0
2020-10-27,2020-10,2020,10,Tuesday,648.1,11851.51,64810000.0,118515100000.0
2020-10-28,2020-10,2020,10,Wednesday,645.16,12124.43,64516000.0,121244300000.0
2020-10-29,2020-10,2020,10,Thursday,664.37,13283.1,66437000.0,132831000000.0
2020-10-30,2020-10,2020,10,Friday,671.68,12259.09,67168000.0,122590900000.0
2020-10-31,2020-10,2020,10,Saturday,725.07,14391.61,72507000.0,143916100000.0
2020-11-01,2020-11,2020,11,Sunday,719.36,11976.23,71936000.0,119762300000.0
2020-11-02,2020-11,2020,11,Monday,772.71,16403.19,77271000.0,164031900000.0
2020-11-03,2020-11,2020,11,Tuesday,765.2,15169.76,76520000.0,151697600000.0
2020-11-04,2020-11,2020,11,Wednesday,762.26,15271.56,76226000.0,152715600000.0
2020-11-05,2020-11,2020,11,Thursday,726.68,13736.53,72668000.0,137365300000.0
2020-11-06,2020-11,2020,11,Friday,775.2,14875.48,77520000.0,148754800000.0
2020-11-07,2020-11,2020,11,Saturday,780.74,14334.9,78074000.0,143349000000.0
2020-11-08,2020-11,2020,11,Sunday,772.49,11178.77,77249000.0,111787700000.0
2020-11-09,2020-11,2020,11,Monday,748.79,14434.11,74879000.0,144341100000.0
2020-11-10,2020-11,2020,11,Tuesday,837.68,15796.87,83768000.0,157968700000.0
2020-11-11,2020-11,2020,11,Wednesday,809.79,16033.53,80979000.0,160335300000.0
2020-11-12,2020-11,2020,11,Thursday,818.7,16137.97,81870000.0,161379700000.0
2020-11-13,2020-11,2020,11,Friday,793.01,15237.8,79301000.0,152378000000.0
2020-11-14,2020-11,2020,11,Saturday,739.7,10494.83,73970000.0,104948300000.0
2020-11-15,2020-11,2020,11,Sunday,663.59,8643.49,66359000.0,86434900000.0
2020-11-16,2020-11,2020,11,Monday,725.27,11787.88,72527000.0,117878799999.99998
2020-11-17,2020-11,2020,11,Tuesday,762.78,13038.57,76278000.0,130385700000.0
2020-11-18,2020-11,2020,11,Wednesday,768.4,13252.11,76840000.0,132521100000.0
2020-11-19,2020-11,2020,11,Thursday,751.04,12885.59,75104000.0,128855900000.0
2020-11-20,2020-11,2020,11,Friday,754.39,12391.65,75439000.0,123916500000.0
2020-11-21,2020-11,2020,11,Saturday,725.53,11426.85,72553000.0,114268500000.0
2020-11-22,2020-11,2020,11,Sunday,680.9,9239.93,68090000.0,92399300000.0
2020-11-23,2020-11,2020,11,Monday,725.32,13061.32,72532000.0,130613200000.0
2020-11-24,2020-11,2020,11,Tuesday,663.52,11841.29,66352000.0,118412900000.00002
2020-11-25,2020-11,2020,11,Wednesday,648.03,11564.67,64803000.0,115646700000.0
2020-11-26,2020-11,2020,11,Thursday,669.09,11676.5,66909000.0,116765000000.0
2020-11-27,2020-11,2020,11,Friday,729.96,13687.62,72996000.0,136876200000.00002
2020-11-28,2020-11,2020,11,Saturday,679.99,11982.57,67999000.0,119825700000.0
2020-11-29,2020-11,2020,11,Sunday,641.01,9651.97,64101000.0,96519700000.0
2020-11-30,2020-11,2020,11,Monday,691.16,13785.63,69116000.0,137856300000.0
2020-12-01,2020-12,2020,12,Tuesday,716.24,15048.41,71624000.0,150484100000.0
2020-12-02,2020-12,2020,12,Wednesday,692.08,14400.62,69208000.0,144006200000.0
2020-12-03,2020-12,2020,12,Thursday,634.55,12916.16,63454999.99999999,129161600000.0
2020-12-04,2020-12,2020,12,Friday,761.09,16061.54,76109000.0,160615400000.0
2020-12-05,2020-12,2020,12,Saturday,776.24,16093.79,77624000.0,160937900000.0
2020-12-06,2020-12,2020,12,Sunday,706.27,11486.81,70627000.0,114868100000.0
2020-12-07,2020-12,2020,12,Monday,755.12,15716.32,75512000.0,157163200000.0
2020-12-08,2020-12,2020,12,Tuesday,574.97,9967.03,57497000.0,99670300000.0
2020-12-09,2020-12,2020,12,Wednesday,791.01,16560.21,79101000.0,165602100000.0
2020-12-10,2020-12,2020,12,Thursday,763.53,15404.8,76353000.0,154048000000.0
2020-12-11,2020-12,2020,12,Friday,750.49,14329.14,75049000.0,143291400000.0
2020-12-12,2020-12,2020,12,Saturday,711.02,12251.73,71102000.0,122517300000.0
2020-12-13,2020-12,2020,12,Sunday,684.78,10004.15,68478000.0,100041500000.0
2020-12-14,2020-12,2020,12,Monday,724.92,14107.85,72492000.0,141078500000.0
2020-12-15,2020-12,2020,12,Tuesday,744.48,14510.2,74448000.0,145102000000.0
2020-12-16,2020-12,2020,12,Wednesday,700.36,12973.1,70036000.0,129731000000.0
2020-12-17,2020-12,2020,12,Thursday,737.96,14062.04,73796000.0,140620400000.0
2020-12-18,2020-12,2020,12,Friday,731.5,13170.33,73150000.0,131703300000.0
2020-12-19,2020-12,2020,12,Saturday,738.81,12971.61,73881000.0,129716100000.0
2020-12-20,2020-12,2020,12,Sunday,694.92,10002.15,69492000.0,100021500000.0
2020-12-21,2020-12,2020,12,Monday,740.09,14261.92,74009000.0,142619200000.0
2020-12-22,2020-12,2020,12,Tuesday,735.6,13675.52,73560000.0,136755200000.0
2020-12-23,2020-12,2020,12,Wednesday,739.01,13802.86,73901000.0,138028600000.0
2020-12-24,2020-12,2020,12,Thursday,739.72,13897.71,73972000.0,138977100000.0
2020-12-25,2020-12,2020,12,Friday,702.45,11018.98,70245000.0,110189800000.0
2020-12-26,2020-12,2020,12,Saturday,706.67,11261.78,70667000.0,112617800000.0
2020-12-27,2020-12,2020,12,Sunday,647.92,8703.11,64791999.99999999,87031100000.0
2020-12-28,2020-12,2020,12,Monday,734.21,14095.93,73421000.0,140959300000.0
2020-12-29,2020-12,2020,12,Tuesday,712.67,13676.88,71267000.0,136768799999.99998
2020-12-30,2020-12,2020,12,Wednesday,724.92,14315.01,72492000.0,143150100000.0
2020-12-31,2020-12,2020,12,Thursday,767.98,15428.54,76798000.0,154285400000.0
2021-01-01,2021-01,2021,1,Friday,767.15,14291.54,76715000.0,142915400000.0
2021-01-02,2021-01,2021,1,Saturday,792.19,16441.23,79219000.0,164412300000.0
2021-01-03,2021-01,2021,1,Sunday,712.39,11999.27,71239000.0,119992700000.0
2021-01-04,2021-01,2021,1,Monday,797.78,17216.59,79778000.0,172165900000.0
2021-01-05,2021-01,2021,1,Tuesday,782.2,16391.11,78220000.0,163911100000.0
2021-01-06,2021-01,2021,1,Wednesday,795.3,16315.32,79530000.0,163153200000.0
2021-01-07,2021-01,2021,1,Thursday,786.63,15903.99,78663000.0,159039900000.0
2021-01-08,2021-01,2021,1,Friday,765.97,15067.11,76597000.0,150671100000.0
2021-01-09,2021-01,2021,1,Saturday,755.92,13575.18,75592000.0,135751800000.0
2021-01-10,2021-01,2021,1,Sunday,730.55,11442.15,73055000.0,114421500000.0
2021-01-11,2021-01,2021,1,Monday,790.01,16385.67,79001000.0,163856699999.99997
2021-01-12,2021-01,2021,1,Tuesday,796.26,16106.04,79626000.0,161060400000.0
2021-01-13,2021-01,2021,1,Wednesday,799.33,15247.81,79933000.0,152478100000.0
2021-01-14,2021-01,2021,1,Thursday,709.06,12055.99,70906000.0,120559900000.0
2021-01-15,2021-01,2021,1,Friday,716.84,12896.46,71684000.0,128964599999.99998
2021-01-16,2021-01,2021,1,Saturday,736.58,13098.51,73658000.0,130985100000.0
2021-01-17,2021-01,2021,1,Sunday,693.63,10040.86,69363000.0,100408600000.0
2021-01-18,2021-01,2021,1,Monday,742.75,14349.75,74275000.0,143497500000.0
2021-01-19,2021-01,2021,1,Tuesday,726.82,13969.89,72682000.0,139698900000.0
2021-01-20,2021-01,2021,1,Wednesday,768.51,15105.77,76851000.0,151057700000.0
2021-01-21,2021-01,2021,1,Thursday,759.64,14635.65,75964000.0,146356500000.0
2021-01-22,2021-01,2021,1,Friday,751.68,14181.12,75168000.0,141811200000.0
2021-01-23,2021-01,2021,1,Saturday,713.0,11968.34,71300000.0,119683400000.0
2021-01-24,2021-01,2021,1,Sunday,589.58,8051.95,58958000.00000001,80519500000.0
2021-01-25,2021-01,2021,1,Monday,724.19,14185.07,72419000.0,141850700000.0
2021-01-26,2021-01,2021,1,Tuesday,682.29,10407.76,68229000.0,104077600000.0
2021-01-27,2021-01,2021,1,Wednesday,705.02,13936.0,70502000.0,139360000000.0
2021-01-28,2021-01,2021,1,Thursday,691.55,13304.92,69155000.0,133049200000.0
2021-01-29,2021-01,2021,1,Friday,758.33,15526.32,75833000.0,155263200000.0
2021-01-30,2021-01,2021,1,Saturday,778.35,15636.1,77835000.0,156361000000.0
2021-01-31,2021-01,2021,1,Sunday,707.78,11448.43,70778000.0,114484300000.0
2021-02-01,2021-02,2021,2,Monday,835.85,18468.88,83585000.0,184688800000.0
2021-02-02,2021-02,2021,2,Tuesday,817.28,17017.33,81728000.0,170173300000.00003
2021-02-03,2021-02,2021,2,Wednesday,809.71,16419.83,80971000.0,164198300000.00003
2021-02-04,2021-02,2021,2,Thursday,813.15,16525.55,81315000.0,165255500000.0
2021-02-05,2021-02,2021,2,Friday,846.0,16576.05,84600000.0,165760500000.0
2021-02-06,2021-02,2021,2,Saturday,859.11,16381.84,85911000.0,163818400000.0
2021-02-07,2021-02,2021,2,Sunday,812.38,12158.01,81238000.0,121580100000.0
2021-02-08,2021-02,2021,2,Monday,830.29,16526.49,83029000.0,165264900000.00003
2021-02-09,2021-02,2021,2,Tuesday,851.58,16665.88,85158000.0,166658800000.0
2021-02-10,2021-02,2021,2,Wednesday,863.77,17089.0,86377000.0,170890000000.0
2021-02-11,2021-02,2021,2,Thursday,847.77,16136.53,84777000.0,161365300000.0
2021-02-12,2021-02,2021,2,Friday,836.08,15632.23,83608000.0,156322300000.0
2021-02-13,2021-02,2021,2,Saturday,797.38,13406.04,79738000.0,134060400000.00002
2021-02-14,2021-02,2021,2,Sunday,760.56,10714.19,76056000.0,107141900000.0
2021-02-15,2021-02,2021,2,Monday,810.95,15853.05,81095000.0,158530500000.0
2021-02-16,2021-02,2021,2,Tuesday,803.9,15074.43,80390000.0,150744300000.0
2021-02-17,2021-02,2021,2,Wednesday,814.96,14883.53,81496000.0,148835300000.0
2021-02-18,2021-02,2021,2,Thursday,809.37,15014.25,80937000.0,150142500000.0
2021-02-19,2021-02,2021,2,Friday,788.06,13981.94,78806000.0,139819400000.0
2021-02-20,2021-02,2021,2,Saturday,811.43,14406.39,81143000.0,144063900000.0
2021-02-21,2021-02,2021,2,Sunday,753.9,10512.08,75390000.0,105120800000.0
2021-02-22,2021-02,2021,2,Monday,815.81,15458.36,81581000.0,154583600000.0
2021-02-23,2021-02,2021,2,Tuesday,810.66,14883.16,81066000.0,148831600000.0
2021-02-24,2021-02,2021,2,Wednesday,818.77,15108.13,81877000.0,151081300000.0
2021-02-25,2021-02,2021,2,Thursday,810.92,15282.2,81092000.0,152822000000.0
2021-02-26,2021-02,2021,2,Friday,835.39,16838.18,83539000.0,168381800000.0
2021-02-27,2021-02,2021,2,Saturday,848.63,15541.31,84863000.0,155413100000.0
2021-02-28,2021-02,2021,2,Sunday,815.28,12507.9,81528000.0,125079000000.0
2021-03-01,2021-03,2021,3,Monday,931.35,20137.82,93135000.0,201378200000.0
2021-03-02,2021-03,2021,3,Tuesday,923.65,19359.29,92365000.0,193592900000.0
2021-03-03,2021-03,2021,3,Wednesday,887.95,18133.93,88795000.0,181339300000.0
2021-03-04,2021-03,2021,3,Thursday,918.98,18836.35,91898000.0,188363500000.0
2021-03-05,2021-03,2021,3,Friday,921.15,18226.84,92115000.0,182268400000.0
2021-03-06,2021-03,2021,3,Saturday,897.01,17171.99,89701000.0,171719900000.00003
2021-03-07,2021-03,2021,3,Sunday,870.99,13251.52,87099000.0,132515200000.0
2021-03-08,2021-03,2021,3,Monday,924.45,18178.63,92445000.0,181786300000.0
2021-03-09,2021-03,2021,3,Tuesday,929.41,18159.23,92941000.0,181592300000.0
2021-03-10,2021-03,2021,3,Wednesday,959.21,19087.27,95921000.0,190872700000.0
2021-03-11,2021-03,2021,3,Thursday,866.3,14920.18,86630000.0,149201800000.0
2021-03-12,2021-03,2021,3,Friday,892.83,16750.51,89283000.0,167505099999.99997
2021-03-13,2021-03,2021,3,Saturday,881.74,15106.81,88174000.0,151068100000.0
2021-03-14,2021-03,2021,3,Sunday,778.18,10795.13,77818000.0,107951299999.99998
2021-03-15,2021-03,2021,3,Monday,888.65,17078.68,88865000.0,170786800000.0
2021-03-16,2021-03,2021,3,Tuesday,879.7,15014.8,87970000.0,150148000000.0
2021-03-17,2021-03,2021,3,Wednesday,889.05,17307.19,88905000.0,173071900000.0
2021-03-18,2021-03,2021,3,Thursday,887.01,16791.68,88701000.0,167916800000.0
2021-03-19,2021-03,2021,3,Friday,881.98,16549.78,88198000.0,165497800000.0
2021-03-20,2021-03,2021,3,Saturday,893.8,16114.6,89380000.0,161146000000.0
2021-03-21,2021-03,2021,3,Sunday,813.0,11625.59,81300000.0,116255900000.0
2021-03-22,2021-03,2021,3,Monday,873.17,16846.96,87317000.0,168469600000.0
2021-03-23,2021-03,2021,3,Tuesday,873.33,16338.27,87333000.0,163382700000.0
2021-03-24,2021-03,2021,3,Wednesday,880.58,16911.96,88058000.0,169119600000.0
2021-03-25,2021-03,2021,3,Thursday,888.41,17301.18,88841000.0,173011800000.0
2021-03-26,2021-03,2021,3,Friday,905.65,16867.73,90565000.0,168677300000.0
2021-03-27,2021-03,2021,3,Saturday,883.98,15316.88,88398000.0,153168800000.0
2021-03-28,2021-03,2021,3,Sunday,820.79,10761.31,82079000.0,107613100000.0
2021-03-29,2021-03,2021,3,Monday,689.6,9607.64,68960000.0,96076400000.0
2021-03-30,2021-03,2021,3,Tuesday,856.44,16167.59,85644000.0,161675900000.0
2021-03-31,2021-03,2021,3,Wednesday,928.51,20169.11,92851000.0,201691100000.0
2021-04-01,2021-04,2021,4,Thursday,769.5,14169.04,76950000.0,141690400000.0
2021-04-02,2021-04,2021,4,Friday,898.85,16537.44,89885000.0,165374400000.0
2021-04-03,2021-04,2021,4,Saturday,963.87,19547.72,96387000.0,195477200000.0
2021-04-04,2021-04,2021,4,Sunday,883.7,14296.25,88370000.0,142962500000.0
2021-04-05,2021-04,2021,4,Monday,949.94,20006.52,94994000.0,200065200000.0
2021-04-06,2021-04,2021,4,Tuesday,924.3,18445.55,92430000.0,184455500000.0
2021-04-07,2021-04,2021,4,Wednesday,956.92,19190.78,95692000.0,191907800000.0
2021-04-08,2021-04,2021,4,Thursday,960.63,18638.51,96063000.0,186385099999.99997
2021-04-09,2021-04,2021,4,Friday,1004.67,18858.61,100467000.0,188586100000.0
2021-04-10,2021-04,2021,4,Saturday,930.11,16956.53,93011000.0,169565300000.0
